"","collocation","count","count_nested","length","lambda","z"
"48","сотрудник полиция",4,4,2,7.04403888764816,10.94135438372
"49","общий режим",4,4,2,7.07188291381933,10.9133836630501
"50","мэр метшин",8,8,2,4.21675191492532,10.828485330257
"51","нефтяной компания",4,4,2,7.04859010887596,10.8176828536396
"52","набережная челн",4,4,2,8.21902073119569,10.8125008691692
"53","стальной камиля",4,4,2,8.36215750470127,10.810585459388
"54","исламский академия",4,4,2,6.69249722194192,10.8099865778432
"55","млрд руб",5,5,2,7.82334862488207,10.8002171715065
"56","министерство правда",4,4,2,7.50730880566382,10.7901467505126
"57","дорогой читатель",4,4,2,6.8566637019892,10.7819126396928
"58","изучение язык",8,8,2,4.67548214606004,10.7470578161953
"59","пресс секретарь",4,4,2,7.43031182562383,10.7454540240224
"60","вица премьера",4,4,2,7.43031182562383,10.7454540240224
"61","банковский кризис",4,4,2,6.52384995694343,10.6585321223543
"62","последний время",8,8,2,4.14591276574012,10.6524673905117
"63","иван грозный",5,5,2,8.88231494860595,10.6201816559138
"64","изучение родной",4,4,2,6.62694546597041,10.5954896713926
"65","камиля исхаков",4,4,2,6.94796103376964,10.5935905099155
"66","штаб навальный",4,4,2,6.34942466485696,10.5911889027703
"67","глава милль",8,8,2,5.87334325639994,10.5864663007487
"68","камиль исхаков",4,4,2,6.3772364226412,10.5807997967725
"69","президентский выборы",5,5,2,5.63856408005601,10.5649146183413
"70","обязательный изучение",4,4,2,6.29381885929234,10.543841626847
"71","асгат сафар",6,6,2,10.2733241013076,10.5187381690208
"72","субъект федерация",4,4,2,8.23391045025646,10.5145928591215
"73","муфтий самигуллин",4,4,2,7.43023994394105,10.4549023525399
"74","роберт мусин",4,4,2,9.23265484793987,10.3633948200883
"75","мир футбол",4,4,2,6.1470847349146,10.2922508150164
"76","срок полномочие",4,4,2,5.83919010878367,10.175098238373
"77","русский националист",5,5,2,5.83577837529056,10.1282290746899
"78","миллион рубль",4,4,2,6.00122906730168,10.1237793058201
"79","сессия госсовет",6,6,2,7.73858494666204,10.1123148530071
"80","небольшой доля",3,3,2,7.74308236643014,10.0513535094439
"81","икона божий",3,3,2,7.91017238095821,10.0344884820741
"82","социальный сеть",3,3,2,7.45680881554588,10.0327394991013
"83","николай никифоров",3,3,2,7.45680881554588,10.0327394991013
"84","региональный элита",5,5,2,5.14381669560726,10.0156624188689
"85","прямой линия",3,3,2,7.22034816871399,9.97123301293985
"86","родной язык",9,9,2,6.28231045784123,9.95649323003766
"87","национальный движение",5,5,2,5.0399641368743,9.94758720458599
"88","первый очередь",5,5,2,6.12930225341334,9.94040878793175
"89","ринат закиров",7,7,2,9.31745335117238,9.9322358438182
"90","матч кубок",3,3,2,7.26336555379768,9.93180552488723
"91","обманывать вкладчик",6,6,2,9.68539372985402,9.91676300950488
"92","аппаратный вес",3,3,2,6.99502969326985,9.90599303315699
"93","конституция рф",4,4,2,5.81587081070883,9.89206257178209
"94","чечня рамзан",3,3,2,6.90402197616025,9.85932970182044
"95","казанский мэрия",5,5,2,5.18359115040505,9.85871445430617
"96","мера безопасность",3,3,2,7.33944786025512,9.85604899482476
"97","пресс конференция",4,4,2,8.21887699882511,9.84927428149527
"98","русскоязычный родитель",3,3,2,7.08894029271975,9.83440888631223
"99","полпред пфо",3,3,2,7.63116220269066,9.82553541481439
"100","энгель фаттах",3,3,2,8.36222936055845,9.81883693265399
"101","третий столица",3,3,2,6.82060442702569,9.81003956596862
"102","стальной камиль",3,3,2,7.25603031499523,9.80572926186126
"103","площадь свобода",3,3,2,8.73002599137806,9.79920809651743
"104","туган тело",3,1,2,8.73002599137806,9.79920809651743
"105","внутренний политика",4,4,2,6.75178499596269,9.79394603639436
"106","информационный повестка",4,4,2,5.51462669958807,9.78620851661607
"107","обязательный обучение",3,3,2,7.01194331267975,9.78354177432444
"108","божий мать",6,6,2,10.7841856484849,9.76134790201198
"109","млрд рубль",4,4,2,5.43454581741891,9.75741927122763
"110","связь проведение",4,4,2,5.40117341945748,9.71491988378499
"111","настоятель храм",3,3,2,7.98263195313146,9.70373979194701
"112","учебный план",3,3,2,7.98263195313146,9.70373979194701
"113","карьерный рост",3,3,2,8.98137634307026,9.70079192159271
"114","регион поволжье",5,5,2,5.30881650931912,9.69744333722559
"115","результат проверка",3,3,2,6.5608509584598,9.67366880105363
"116","иван кузнецов",3,3,2,7.88251256341857,9.65380668023347
"117","задерживать полиция",3,3,2,6.43479817251326,9.63804924557859
"118","председатель всемирный",3,3,2,6.44121874031618,9.63653235082026
"119","духовный управление",3,3,2,6.81116479275572,9.63049219135093
"120","разграничение полномочие",6,6,2,9.09739146639558,9.6182684510128
"121","языковой проблема",4,4,2,5.61235473200936,9.61825403850723
"122","деятель культура",3,3,2,6.97825482019799,9.6019208463631
"123","обязательный преподавание",3,3,2,6.35780118472196,9.58666009652687
"124","шура вица",3,3,2,6.36972382967887,9.58452369779166
"125","татфондбанк роберт",3,3,2,7.24151775432425,9.57075474152951
"126","обращать внимание",5,5,2,9.39317650223685,9.55622122607261
"127","национальный регион",7,7,2,3.87036761890026,9.54855913484268
"128","накануне выборы",4,4,2,5.49858273050733,9.54743638448899
"129","спикер госдума",3,3,2,6.30299650723282,9.53225438247338
"130","руководитель аппарат",4,4,2,5.20528491861071,9.51160223234832
"131","ксения собчак",3,3,2,8.69873752317213,9.49338189446685
"132","сергей кириенко",4,4,2,5.29427695701103,9.4864024535873
"133","новость сосед",4,4,2,7.7532262224029,9.48078134526904
"134","учебный программа",3,3,2,6.31708508659677,9.46899334021818
"135","верховный шаман",3,3,2,9.31788450181232,9.45374441986903
"136","управление мусульманин",3,3,2,6.15702264154069,9.42940760933254
"137","колония общий",3,3,2,8.31914011961758,9.35376654338857
"138","татарстанский элита",6,6,2,4.06964900654061,9.33813660349989
"139","лидер федерализм",3,3,2,6.35765738517828,9.33811301855872
"140","проведение референдум",3,3,2,6.07327826087487,9.32708599833831
"141","подписывать договор",5,5,2,4.81626000175341,9.32331600720559
"142","имитатор запах",4,4,2,10.0800245538592,9.30056568327573
"143","спурт банк",3,3,2,6.91408918256471,9.2851823052496
"144","соседний канал",4,4,2,5.65212924145436,9.25850346160177
"145","отдел протокол",3,3,2,8.12801302183405,9.24649290405238
"146","стадион kazan",3,3,2,8.12801302183405,9.24649290405238
"147","автор канал",4,3,2,5.79526608480704,9.24203298840882
"148","орден невский",3,3,2,8.044595480448,9.19307166849446
"149","канал неудащий",4,4,2,6.25258792697136,9.18731587103729
"150","четвертый срок",3,3,2,6.78336115242852,9.15677042526774
"151","предвыборный штаб",5,5,2,8.72959480975409,9.15549530479084
"152","политический поле",5,5,2,4.75038027280489,9.11962812445146
"153","телеграмма канал",4,4,2,6.16306286046867,9.07142915379543
"154","национальный язык",8,8,2,3.43526686466624,9.07031514002848
"155","экс премьер",4,4,2,4.8467943209044,9.04013666278967
"156","занимать должность",3,3,2,5.72138095732111,8.99066094553893
"157","митинг июнь",3,3,2,6.16399833106057,8.97830267800467
"158","суд отменять",3,3,2,6.02086152395877,8.96710841024604
"159","русский язык",8,8,2,3.38059935384478,8.95701406217939
"160","издание бизнес",3,3,2,5.60316228671992,8.95305093058165
"161","общественный политический",5,5,2,4.49181573545384,8.94574328795589
"162","предлагать вариант",3,3,2,5.58791164525731,8.91564920482555
"163","молодой технократ",3,2,2,6.95616801344337,8.91230381202327
"164","татароязычный электорат",2,2,2,8.14223932647594,8.86031341695141
"165","осуждать мьянма",2,2,2,8.14223932647594,8.86031341695141
"166","диана сафаров",2,2,2,8.14223932647594,8.86031341695141
"167","старший товарищ",2,2,2,7.74082608485735,8.8579616126051
"168","й замглавы",2,2,2,7.94153270631196,8.8563687353236
"169","крушение самолет",2,2,2,7.94153270631196,8.8563687353236
"170","общество русский",4,4,2,6.41441328457406,8.85217059207825
"171","дальний восток",3,3,2,9.5773956972974,8.83680364879009
"172","химический имитатор",3,3,2,9.5773956972974,8.83680364879009
"173","пфо бабич",3,3,2,9.5773956972974,8.83680364879009
"174","патриарх кирилл",3,3,2,9.8287460464088,8.83313336292686
"175","внимательно следить",3,3,2,9.8287460464088,8.83313336292686
"176","лдпр набирать",2,2,2,7.573736072911,8.82997982059585
"177","казань ильсур",7,7,2,3.72180325408497,8.82960188262742
"178","асгат сафаров",2,2,2,7.77444269565633,8.82488838409416
"179","открыто топить",2,2,2,7.77444269565633,8.82488838409416
"180","марат хуснуллин",2,2,2,7.77444269565633,8.82488838409416
"181","президент рф",7,7,2,3.63372836940711,8.8111822250136
"182","ректор книт",3,3,2,7.54961173254533,8.80885854334481
"183","й президентство",2,2,2,8.39358967816814,8.80869157225019
"184","традиционный ислам",2,2,2,8.39358967816814,8.80869157225019
"185","средний класс",2,2,2,8.39358967816814,8.80869157225019
"186","имам мечеть",2,1,2,8.39358967816814,8.80869157225019
"187","фарид мухаметшин",4,4,2,8.59151634778945,8.79878932594124
"188","крушение вертолет",2,2,2,8.19288305929469,8.79599341593457
"189","свита серебренников",2,2,2,8.19288305929469,8.79599341593457
"190","запах денежный",2,2,2,8.19288305929469,8.79599341593457
"191","комитет русскоязычный",2,2,2,7.43059930069633,8.78645929882709
"192","приговаривать заключение",2,2,2,7.63130592473248,8.77920796466056
"193","недавний прошлое",2,2,2,7.63130592473248,8.77920796466056
"194","энгель фаттахов",2,2,2,7.63130592473248,8.77920796466056
"195","верховный суд",3,3,2,6.81544224259722,8.76769036145654
"196","исторический граница",2,2,2,7.26350928616825,8.76193544120817
"197","фсб мвд",2,2,2,7.26350928616825,8.76193544120817
"198","крайний мера",2,2,2,7.26350928616825,8.76193544120817
"199","данный этап",2,2,2,7.26350928616825,8.76193544120817
"200","необходимость пролонгация",2,2,2,8.0257930499297,8.75896280649654
"201","вполне конкретный",2,2,2,8.0257930499297,8.75896280649654
"202","избирательный участок",2,2,2,8.0257930499297,8.75896280649654
"203","ровно режиссер",2,2,2,8.0257930499297,8.75896280649654
"204","условный галямов",2,2,2,8.0257930499297,8.75896280649654
"205","администрация президент",6,6,2,4.04276756687015,8.74326065421582
"206","швецов младший",3,3,2,10.1652542025702,8.74103689917503
"207","набирать голос",2,2,2,7.30540022787741,8.73473615134403
"208","принимать участие",3,3,2,5.43058219495529,8.73370674168529
"209","сталкиваться серьезный",2,2,2,7.50610685320447,8.72623088627726
"210","месяц назад",3,3,2,5.4051031096543,8.72140107851427
"211","топ менеджер",2,2,2,7.13831021205834,8.71089912273311
"212","сознательно понижать",2,2,2,7.88265628029657,8.70980614442685
"213","стоить ожидать",2,2,2,7.88265628029657,8.70980614442685
"214","недавний время",4,4,2,5.61772030893132,8.70783725665606
"215","вертикаль власть",4,4,2,5.88112751138376,8.69601455631882
"216","местный власть",6,6,2,3.72537907715286,8.67262199595804
"217","татарстанский чиновник",5,5,2,4.07956147711245,8.67054947318399
"218","конфедерация чемпионат",2,2,2,7.39484528822934,8.66974317866231
"219","отделение втоц",2,2,2,6.99517343597066,8.66966960338979
"220","молодой муфтий",3,3,2,5.34622663970222,8.66555633644934
"221","телеграмма отправлять",2,2,2,7.02704864450111,8.65530543616466
"222","жириновский возможно",2,2,2,7.02704864450111,8.65530543616466
"223","православный церковь",2,2,2,7.75745721005938,8.65474371866695
"224","укреплять позиция",3,3,2,6.69206576126107,8.63618148882886
"225","корреспондент eadaily",2,2,2,8.7300978369102,8.63453235686119
"226","сельский хозяйство",2,2,2,8.7300978369102,8.63453235686119
"227","взгляд диана",2,2,2,8.7300978369102,8.63453235686119
"228","глава регион",8,8,2,3.21235515322022,8.6248726127787
"229","запрет попадать",2,2,2,7.0940192706073,8.62121458994572
"230","х принимать",3,3,2,5.30914939679885,8.62101272583408
"231","фирма кундакчян",2,2,2,8.98144818602159,8.61948679368287
"232","депутатский мандат",2,2,2,8.98144818602159,8.61948679368287
"233","вахитовский районный",2,2,2,8.98144818602159,8.61948679368287
"234","силовой ведомство",2,2,2,6.86997435927847,8.61897094850309
"235","активист обращаться",2,2,2,6.88391186712225,8.61409820892111
"236","финансирование линия",2,2,2,7.29472589851645,8.6119036091675
"237","возвращаться круг",2,2,2,7.29472589851645,8.6119036091675
"238","запрет служение",2,2,2,8.5293912193272,8.60784731128174
"239","выполнять поручение",2,2,2,8.5293912193272,8.60784731128174
"240","пользоваться инстаграм",2,2,2,8.5293912193272,8.60784731128174
"241","ахметзянов айдар",2,2,2,8.5293912193272,8.60784731128174
"242","халяф низамов",2,2,2,8.5293912193272,8.60784731128174
"243","ирек миннахметов",2,2,2,8.5293912193272,8.60784731128174
"244","лето текущий",2,2,2,8.5293912193272,8.60784731128174
"245","деловой круг",2,2,2,6.92692925220594,8.59761899681942
"246","собеседник агентство",2,2,2,7.64619564637515,8.59712999094851
"247","хитрый ход",2,2,2,7.64619564637515,8.59712999094851
"248","образ будущее",2,2,2,7.64619564637515,8.59712999094851
"249","делегат съезд",2,2,2,7.64619564637515,8.59712999094851
"250","разработка учебник",2,2,2,7.64619564637515,8.59712999094851
"251","вес хватить",2,2,2,7.64619564637515,8.59712999094851
"252","информировать дорогой",3,3,2,8.83000167195757,8.58585662352208
"253","коллега соседний",2,2,2,6.75871278913877,8.5632522561175
"254","полиция дальний",2,2,2,7.00301155866338,8.56314419203879
"255","заместитель премьер",3,3,2,5.45768047780367,8.56213599538919
"256","подозревать ровно",2,2,2,8.36230121125274,8.56206385238613
"257","добровольный основа",2,2,2,8.36230121125274,8.56206385238613
"258","сепаратизм экстремизм",2,2,2,8.36230121125274,8.56206385238613
"259","информационный поле",3,3,2,5.29973427270999,8.54610758570436
"260","деловой встреча",2,2,2,6.83592153897074,8.53930909837693
"261","сутки арест",2,2,2,7.54607625795326,8.53884091988119
"262","лишний шум",2,2,2,7.54607625795326,8.53884091988119
"263","зюганов жириновский",2,2,2,7.54607625795326,8.53884091988119
"264","иван iii",3,3,2,8.72988228482659,8.52902225117057
"265","традиция древний",2,2,2,8.21916444291024,8.50747973192392
"266","обучение нерусский",2,2,2,8.21916444291024,8.50747973192392
"267","халяф низам",2,2,2,9.31795634218304,8.5059641630414
"268","почта shaltaybabay",2,2,2,9.31795634218304,8.5059641630414
"269","пивной фестиваль",2,2,2,9.31795634218304,8.5059641630414
"270","шура василь",2,2,2,6.91959401469485,8.50549271309582
"271","подписание федеративный",2,2,2,6.91959401469485,8.50549271309582
"272","сурков володин",2,2,2,6.69278475900922,8.49761281232755
"273","существенный удар",2,2,2,7.12030064518648,8.49669317046561
"274","председатель правление",2,2,2,7.12030064518648,8.49669317046561
"275","прийти смена",2,2,2,6.75250399371085,8.48126452638901
"276","чувствовать безопасность",2,2,2,6.75250399371085,8.48126452638901
"277","поддерживать каталония",2,2,2,7.45506854859163,8.48094586568737
"278","войско иван",2,2,2,7.45506854859163,8.48094586568737
"279","объявлять выдвижение",2,2,2,7.45506854859163,8.48094586568737
"280","шаймиевский кадр",2,2,2,8.09396537396377,8.44918855976838
"281","gazetaru news",2,2,2,7.04330366902088,8.44049980234103
"282","районный суд",3,3,2,7.15195043621386,8.43723002379304
"283","чм футбол",2,2,2,7.37165100720557,8.42405515467837
"284","камиль самигуллин",2,2,2,6.67550701496241,8.42402393162684
"285","ввп орден",2,2,2,6.67550701496241,8.42402393162684
"286","татнефть единственный",2,2,2,6.67550701496241,8.42402393162684
"287","относительно продление",2,2,2,7.98270381157037,8.38984571983276
"288","полагать глаз",2,2,2,7.98270381157037,8.38984571983276
"289","операция преемник",2,2,2,7.98270381157037,8.38984571983276
"290","трибуна съезд",2,2,2,7.98270381157037,8.38984571983276
"291","альметьевский епархия",2,2,2,7.98270381157037,8.38984571983276
"292","поставлять задача",2,2,2,6.45632410442882,8.3893966577222
"293","принятие заявление",2,2,2,6.97180876871789,8.38563902448938
"294","обязательный предмет",2,2,2,6.97180876871789,8.38563902448938
"295","организатор акция",2,2,2,6.53237023241787,8.38142573423953
"296","исламский конференция",2,2,2,6.90508145660691,8.33224040728019
"297","приходиться пожертвовать",2,2,2,7.88258442443938,8.33087539620995
"298","следующий неделя",2,2,2,6.35620470567632,8.33010312421269
"299","президентский амбиция",3,3,2,8.40696516535753,8.31850078710988
"300","отказываться депутатский",2,2,2,7.22315913331964,8.31448740045476
"301","президент минниханов",13,12,2,2.42709028288608,8.31375210309735
"302","никто нужный",3,3,2,5.00796352355719,8.29854846216288
"303","крах татфондбанк",2,2,2,6.84252516072171,8.28036009017686
"304","крупный размер",2,2,2,6.84252516072171,8.28036009017686
"305","привлекать внимание",2,2,2,7.79157671636875,8.27304504506763
"306","православный общественность",2,2,2,6.33567624379894,8.27187546637726
"307","доллар николай",2,2,2,6.33567624379894,8.27187546637726
"308","особый статус",3,3,2,5.1096539032288,8.25844402040522
"309","находиться контроль",2,2,2,6.58294208355384,8.23513325536913
"310","конец цитата",2,2,2,6.78364872050326,8.23000792292499
"311","каждый угол",2,2,2,6.78364872050326,8.23000792292499
"312","каждый купон",2,2,2,6.78364872050326,8.23000792292499
"313","минобрнаука готовый",2,2,2,6.78364872050325,8.23000792292499
"314","башкирский национальный",3,3,2,5.7283555389846,8.22578037926896
"315","фарида мухаметшин",3,3,2,8.27768156252721,8.22430244915372
"316","создавать специальный",3,3,2,8.27768156252721,8.22430244915371
"317","сергей юшко",3,3,2,8.27768156252721,8.22430244915371
"318","мировой футбол",2,2,2,7.70815917627379,8.2167575408876
"319","мошенничество особо",2,2,2,7.70815917627379,8.2167575408876
"320","соответствовать требование",2,2,2,7.70815917627379,8.2167575408876
"321","член изборский",2,2,2,7.70815917627379,8.2167575408876
"322","член координационный",2,2,2,7.70815917627379,8.2167575408876
"323","вариант объединение",2,2,2,6.33159171249384,8.21539965684064
"324","подписывать указ",2,2,2,6.33159171249384,8.21539965684064
"325","развитие событие",2,2,2,6.33159171249384,8.21539965684064
"326","доллар сша",2,1,2,6.22441466590961,8.21376905264418
"327","задерживать заместитель",2,2,2,6.19579017133478,8.21122133313283
"328","идея создание",2,2,2,6.41585205611158,8.20776412718224
"329","управление внутренний",2,2,2,6.41585205611158,8.20776412718224
"330","создавать специально",2,2,2,6.41585205611158,8.20776412718224
"331","возглавлять предвыборный",2,2,2,6.72804292786118,8.18116472284941
"332","ждать реакция",2,2,2,6.27271526839987,8.16283768867114
"333","максим шевченко",2,2,2,9.49230972932782,8.16237626221618
"334","волжский концессионный",2,2,2,9.49230972932782,8.16237626221618
"335","стремительно терять",2,2,2,9.49230972932782,8.16237626221618
"336","wwwidelrealorg a",2,2,2,9.49230972932782,8.16237626221618
"337","удмуртия бречалов",2,2,2,9.49230972932782,8.16237626221618
"338","зоопарк скончаться",2,2,2,9.49230972932782,8.16237626221618
"339","олег морозов",2,2,2,9.49230972932782,8.16237626221618
"340","народный единство",2,2,2,9.49230972932782,8.16237626221618
"341","продолжать пускать",2,2,2,7.63116220269066,8.16220763835467
"342","орден заслуга",2,2,2,7.63116220269066,8.16220763835467
"343","ждать фиксировать",2,2,2,7.03499908897968,8.16208077418029
"344","волжский управление",2,2,2,7.03499908897968,8.16208077418029
"345","полный состав",2,2,2,6.2063926254688,8.16143932803093
"346","местный отделение",3,3,2,5.51029904601515,8.15892717293157
"347","тысяча мусульманин",2,2,2,6.10478244905802,8.15010130314243
"348","тендер выигрывать",2,2,2,9.24095938150668,8.13960387383735
"349","негласный указание",2,2,2,9.24095938150668,8.13960387383735
"350","ольга артеменко",2,2,2,9.24095938150668,8.13960387383735
"351","ура медиа",2,2,2,9.24095938150668,8.13960387383735
"352","amp html",2,2,2,9.24095938150668,8.13960387383735
"353","мэр собянин",3,3,2,5.66095932090263,8.13849783047266
"354","известный писатель",2,2,2,6.67536325159666,8.13379340574657
"355","канал аппаратный",3,3,2,5.13524062724894,8.12626576714124
"356","министр мвд",3,3,2,5.64479393796472,8.11744033462968
"357","кхти герман",2,2,2,9.8288178841991,8.1157798842179
"358","мари эл",2,2,2,9.8288178841991,8.1157798842179
"359","поминать патриарх",2,2,2,9.8288178841991,8.1157798842179
"360","наталья фишман",2,2,2,9.8288178841991,8.1157798842179
"361","специальный фонд",2,2,2,9.8288178841991,8.1157798842179
"362","главред радиостанция",2,2,2,9.8288178841991,8.1157798842179
"363","пускать пузырь",2,2,2,9.8288178841991,8.1157798842179
"364","пустой трибуна",2,2,2,9.8288178841991,8.1157798842179
"365","кусок собственность",2,2,2,9.8288178841991,8.1157798842179
"366","тина канделак",2,2,2,9.8288178841991,8.1157798842179
"367","нашивка зеленый",2,2,2,9.8288178841991,8.1157798842179
"368","заявлять выдвижение",2,2,2,6.97939329762935,8.11445305634775
"369","татарстанский политика",4,4,2,4.21974993747807,8.11000743385903
"370","либеральный общественность",2,2,2,7.55966730497032,8.10946926205366
"371","владимир швецов",2,2,2,7.55966730497032,8.10946926205366
"372","особый взгляд",2,2,2,7.55966730497032,8.10946926205366
"373","турецкий кризис",2,2,2,6.30756658203726,8.10821482980206
"374","кризис доверие",2,2,2,6.30756658203726,8.10821482980206
"375","сидеть тихо",2,2,2,6.30756658203726,8.10821482980206
"376","массовый мероприятие",2,2,2,6.09513104499552,8.10235408680686
"377","хан минтимер",2,2,2,6.09513104499552,8.10235408680686
"378","крупный нефтяной",2,2,2,6.09513104499552,8.10235408680686
"379","вновь подымать",2,2,2,6.09513104499552,8.10235408680686
"380","фон полный",2,2,2,6.09513104499552,8.10235408680686
"381","четыре час",2,2,2,6.05756794341988,8.0962826218213
"382","президентский кампания",2,2,2,6.05756794341988,8.09628262182129
"383","назначать представитель",2,2,2,6.03328753971282,8.0915745115145
"384","прокурорский работник",2,2,2,9.04025276521403,8.09063646882321
"385","обыск квартира",2,2,2,9.04025276521403,8.09063646882321
"386","служба безопасность",2,2,2,6.02136489475591,8.08903928158846
"387","писать ранее",3,3,2,5.33456700375636,8.08747229755663
"388","системный кризис",2,2,2,6.92671362265667,8.06833604547875
"389","религиозный организация",2,2,2,6.92671362265667,8.06833604547875
"390","порядок проведение",2,2,2,6.25752021480743,8.06055869594657
"391","проведение матч",2,2,2,6.25752021480743,8.06055869594656
"392","рука ввп",2,2,2,6.25752021480743,8.06055869594656
"393","ребенок внук",3,3,2,8.06047329909042,8.0556518943517
"394","ссылка собственный",2,2,2,6.03625459831742,8.04875470259936
"395","сергей доренко",2,2,2,6.03625459831742,8.04875470259936
"396","активно работать",3,3,2,4.92917613165637,8.04572487973532
"397","ректор риу",2,2,2,6.37694625048135,8.04463791398553
"398","глава башкирия",4,4,2,4.65801047593182,8.04117495614295
"399","агентство татмедиа",2,2,2,5.99501163978338,8.04080381323996
"400","госдума володин",2,2,2,5.96656021855898,8.03429704377998
"401","пляска сабантуй",2,2,2,8.87316275843002,8.03157804394627
"402","земельный участок",2,2,2,8.87316275843002,8.03157804394627
"403","денис валеев",2,2,2,8.87316275843002,8.03157804394627
"404","деловой понедельник",2,2,2,8.87316275843002,8.03157804394627
"405","граница сирия",2,2,2,8.87316275843002,8.03157804394627
"406","милль шура",15,13,2,13.262409916959,8.02498457302239
"407","скорый отставка",2,2,2,6.87666725930291,8.02366946577093
"408","mbusiness gazetaru",13,13,2,12.6134698858681,8.01908970950988
"409","gazetaru article",13,13,2,12.6134698858681,8.01908970950988
"410","делать вывод",2,2,2,6.2098562178708,8.01426078790086
"411","защита право",2,2,2,6.11438342321938,8.01374103696303
"412","московский кабинет",2,2,2,6.33144792845721,8.00041154232018
"413","высокий кабинет",2,2,2,6.33144792845721,8.00041154232018
"414","замглавы администрация",2,2,2,6.33144792845721,8.00041154232018
"415","высокий показатель",2,2,2,6.53215457186674,8.00000712993854
"416","айдар метшин",3,3,2,5.78332123170623,7.99691122143514
"417","готовый выделять",2,2,2,5.93613519181306,7.98675393838374
"418","кировский область",3,3,2,7.96731098917428,7.97984383315059
"419","рейтинг компания",2,2,2,5.90400391363027,7.97839436900205
"420","близкий брат",2,2,2,5.88314266167255,7.97241082476267
"421","написать заявление",2,2,2,5.8728729950351,7.96930572138839
"422","акция навальный",2,2,2,5.8728729950351,7.96930572138839
"423","особый путь",2,2,2,5.8728729950351,7.96930572138839
"424","московский куратор",2,2,2,6.16435789455437,7.96927307731009
"425","оппонент сечин",2,2,2,6.16435789455437,7.96927307731009
"426","пятый колесо",2,2,2,8.73002599137806,7.96926765252395
"427","традиция издревле",2,2,2,8.73002599137806,7.96926765252395
"428","ректор кфу",2,2,2,6.06671942499045,7.96681080583266
"429","экономический база",2,2,2,6.06671942499045,7.96681080583266
"430","крайний случай",2,2,2,6.06671942499045,7.96681080583266
"431","данный случай",2,2,2,6.06671942499045,7.96681080583266
"432","сергей андреев",2,2,2,7.37150726450476,7.96197094339995
"433","сергей миронов",2,2,2,7.37150726450476,7.96197094339995
"434","казанский божий",3,3,2,5.52405973015646,7.95877464140767
"435","новость кузнецов",2,2,2,6.48863351197962,7.95800171753582
"436","входить предвыборный",2,2,2,6.48863351197962,7.95800171753582
